"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-91 0.107288277070761 7 62 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.339539441009924
-113 0.144233961155051 2 32 "GO:0000209" "protein polyubiquitination" 0.396698179325548
-100 0.15476477278274 3 39 "GO:0000226" "microtubule cytoskeleton organization" 0.399282881899918
-52 0.394590873506029 2 52 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 0.623908082716339
-67 0.424700759257465 3 27 "GO:0001558" "regulation of cell growth" 0.657741688696177
-182 0.0211733049313533 3 31 "GO:0001817" "regulation of cytokine production" 0.170148831311007
-36 0.446047235954672 3 88 "GO:0001932;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 0.672650862354198
-15 0.815128004070568 7 50 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 0.895158753561133
-13 0.86059788112185 2 38 "GO:0002252" "immune effector process" 0.934894101074815
-32 0.47979747884232 1 97 "GO:0002376" "immune system process" 0.6867243536037
-35 0.504886203097999 3 72 "GO:0002682" "regulation of immune system process" 0.709188992258585
-31 0.647453060954351 4 43 "GO:0002684" "positive regulation of immune system process" 0.782123297632856
-75 0.391504030497719 2 25 "GO:0002831" "regulation of response to biotic stimulus" 0.62228535373848
-17 0.805860012695767 2 40 "GO:0003006" "developmental process involved in reproduction" 0.891464189868577
-101 0.0758525037183589 2 61 "GO:0003008" "system process" 0.289967799024613
-15 0.802946780486361 2 54 "GO:0005975" "carbohydrate metabolic process" 0.891464189868577
112 0.116167202735535 2 38 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.350106838936623
145 0.0218243916465454 3 49 "GO:0006091" "generation of precursor metabolites and energy" 0.170148831311007
-76 0.149385366283834 2 71 "GO:0006259" "DNA metabolic process" 0.398554172161213
-96 0.150327889064962 2 44 "GO:0006281" "DNA repair" 0.398554172161213
-131 0.00598391764106143 2 88 "GO:0006325" "chromatin organization" 0.150595260633379
-170 0.0530010761403746 4 25 "GO:0006338" "chromatin remodeling" 0.254068650704653
-141 0.100558223566518 5 26 "GO:0006351;GO:0097659" "transcription, DNA-templated" 0.337428705745427
-129 0.0664438378878532 7 39 "GO:0006364;GO:0016072" "rRNA processing" 0.2713935475173
-128 0.000799835060764392 4 142 "GO:0006396" "RNA processing" 0.0679381012704886
-129 0.00517139172589151 2 95 "GO:0006397;GO:0008380" "mRNA processing" 0.141978209201749
165 0.000187034656715361 3 104 "GO:0006412;GO:0043043;GO:0043604" "amide biosynthetic process" 0.0542281424513336
-59 0.390770833080972 3 41 "GO:0006417;GO:0034248" "regulation of cellular amide metabolic process" 0.62228535373848
-139 0.0457102148820692 2 40 "GO:0006457" "protein folding" 0.236010759243597
-47 0.456825510101686 3 49 "GO:0006468" "protein phosphorylation" 0.672650862354198
21 0.610974616567235 4 123 "GO:0006508" "proteolysis" 0.773566782512727
31 0.521261147813375 4 84 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 0.72544178174949
141 0.000359126771200885 2 132 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.0542281424513336
10 0.89638505967477 2 36 "GO:0006520" "cellular amino acid metabolic process" 0.938750281137126
1 0.988267836908666 2 28 "GO:0006575" "cellular modified amino acid metabolic process" 0.993047704626003
156 0.0363117251342264 2 35 "GO:0006631" "fatty acid metabolic process" 0.209584768755556
26 0.723840991052423 2 37 "GO:0006790" "sulfur compound metabolic process" 0.839406519340394
47 0.227479159762008 4 135 "GO:0006796;GO:0006793" "phosphorus metabolic process" 0.461065142604875
82 0.0799007763174844 2 91 "GO:0006811" "ion transport" 0.295651271444727
68 0.23417127229938 3 61 "GO:0006812" "cation transport" 0.46834254459876
64 0.463282713144613 2 25 "GO:0006869" "lipid transport" 0.672650862354198
121 0.108106082827703 3 34 "GO:0006875;GO:0055065" "metal ion homeostasis" 0.339539441009924
6 0.904356473791399 2 80 "GO:0006886" "intracellular protein transport" 0.941778120982767
-50 0.556048326141379 3 27 "GO:0006913;GO:0051169" "nuclear transport" 0.749672296851324
-103 0.0973465875308475 2 51 "GO:0006915;GO:0012501;GO:0008219" "programmed cell death" 0.335179170905347
-51 0.214215707341526 2 122 "GO:0006928" "movement of cell or subcellular component" 0.455585518430569
-46 0.491675718737144 2 43 "GO:0006955" "immune response" 0.700405976691592
-123 0.0314479107347953 4 60 "GO:0006974" "cellular response to DNA damage stimulus" 0.200783516239393
98 0.2003891740096 3 33 "GO:0006979" "response to oxidative stress" 0.440517606368938
-11 0.897166445174796 2 25 "GO:0007005" "mitochondrion organization" 0.938750281137126
-124 0.0155759936241072 2 76 "GO:0007010" "cytoskeleton organization" 0.161933069380744
-161 0.0357837103104181 2 33 "GO:0007015" "actin filament organization" 0.209584768755556
-79 0.10586705619452 2 83 "GO:0007017" "microtubule-based process" 0.339539441009924
-70 0.338165490714604 2 36 "GO:0007018" "microtubule-based movement" 0.571414905992484
-127 0.0355816034970582 2 54 "GO:0007049" "cell cycle" 0.209584768755556
-87 0.186700492124386 2 45 "GO:0007154" "cell communication" 0.427148095617913
-43 0.445346945290196 2 61 "GO:0007155;GO:0022610" "cell adhesion" 0.672650862354198
-118 0.00317552812223039 2 129 "GO:0007166" "cell surface receptor signaling pathway" 0.137001356130511
-234 0.000899842400933624 4 39 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 0.0679381012704886
-88 0.24148003989254 2 34 "GO:0007267;GO:0023052" "signaling" 0.469754579197508
-15 0.774233546554966 2 69 "GO:0007275" "multicellular organism development" 0.876560962028154
-122 0.0657559080607859 2 44 "GO:0007346" "regulation of mitotic cell cycle" 0.2713935475173
-37 0.632567663449601 2 33 "GO:0007389" "pattern specification process" 0.773566782512727
-1 0.988559549948842 1 26 "GO:0008283" "cell population proliferation" 0.993047704626003
-76 0.194823577432452 2 57 "GO:0008284" "positive regulation of cell population proliferation" 0.439080002870153
9 0.896237192660729 5 37 "GO:0008285" "negative regulation of cell population proliferation" 0.938750281137126
94 0.180601681826348 2 39 "GO:0008610" "lipid biosynthetic process" 0.41955159931967
89 0.164171121197942 5 48 "GO:0009117;GO:0006753;GO:0055086;GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693" "nucleobase-containing small molecule metabolic process" 0.40416118878996
8 0.920780603134089 2 29 "GO:0009314" "response to radiation" 0.952314185433202
-5 0.898340500823276 2 116 "GO:0009605" "response to external stimulus" 0.938750281137126
-12 0.883615303514157 2 28 "GO:0009617" "response to bacterium" 0.938750281137126
-9 0.857016148094401 2 80 "GO:0009628" "response to abiotic stimulus" 0.934364175900755
-64 0.111835875705464 2 129 "GO:0009653" "anatomical structure morphogenesis" 0.342959012728826
-19 0.716889609654338 2 70 "GO:0009719" "response to endogenous stimulus" 0.838688234933219
-29 0.663458843298262 2 45 "GO:0009725" "response to hormone" 0.795097502682838
-10 0.896181287687274 4 30 "GO:0009792;GO:0009790" "embryo development ending in birth or egg hatching" 0.938750281137126
-90 0.226306075389912 3 35 "GO:0009887" "animal organ morphogenesis" 0.461065142604875
-100 0.122965082009219 3 46 "GO:0009888" "tissue development" 0.357071680449847
-34 0.450123703804534 2 102 "GO:0009967;GO:0010647;GO:0023056" "positive regulation of signaling" 0.672650862354198
-88 0.0296242119699377 4 127 "GO:0009968;GO:0010648;GO:0023057;GO:0048585" "negative regulation of response to stimulus" 0.200783516239393
-42 0.274769934304063 3 140 "GO:0010033" "response to organic substance" 0.50908294576581
-81 0.242654683294077 3 40 "GO:0010035" "response to inorganic substance" 0.469754579197508
-8 0.929924359818059 2 25 "GO:0010038" "response to metal ion" 0.957999052885257
-90 0.0753310183752366 2 77 "GO:0010243;GO:1901698" "response to nitrogen compound" 0.289967799024613
-98 0.112426961126337 2 51 "GO:0010564" "regulation of cell cycle process" 0.342959012728826
-57 0.341066211790739 2 54 "GO:0010608" "posttranscriptional regulation of gene expression" 0.572233310893351
-36 0.352624547465531 2 143 "GO:0010629" "negative regulation of gene expression" 0.588356979749118
-156 0.00945889615469727 2 54 "GO:0010638" "positive regulation of organelle organization" 0.161933069380744
-165 0.0260114078313135 2 35 "GO:0010639" "negative regulation of organelle organization" 0.191596223537968
-169 0.0295846116797518 2 32 "GO:0010720;GO:0051962" "positive regulation of cell development" 0.200783516239393
