"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-124 0.0332468866017883 2 48 "GO:0000139" "Golgi membrane" 0.167564308473013
-19 0.827782937158006 2 22 "GO:0000151" "ubiquitin ligase complex" 0.868171320332796
-126 0.0214379860130907 4 55 "GO:0000785" "chromatin" 0.144550489059456
-204 0.0108873570644982 2 25 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.129775729397115
57 0.547756458532375 3 18 "GO:0000932" "P-body" 0.718930351823742
44 0.194495297963282 1 158 "GO:0005576" "extracellular region" 0.422524267989199
-88 0.213682915934604 2 32 "GO:0005581" "collagen trimer" 0.438520962824014
38 0.3276873724894 2 116 "GO:0005615" "extracellular space" 0.529341140175185
81 0.365216813433957 3 20 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.561186810886324
59 0.483018903708642 2 23 "GO:0005667" "transcription factor complex" 0.661525889861836
-59 0.281370520606069 3 54 "GO:0005681" "spliceosomal complex" 0.506466937090924
-57 0.439156365109998 5 30 "GO:0005684" "U2-type spliceosomal complex" 0.636019563262756
-165 0.0268415485686047 3 29 "GO:0005694" "chromosome" 0.157513903718126
-88 0.0310181662001024 3 103 "GO:0005730" "nucleolus" 0.167564308473013
44 0.201628270218067 2 147 "GO:0005739" "mitochondrion" 0.43059596690638
33 0.725939337699881 4 18 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.816681754912366
105 0.0580578158154014 4 54 "GO:0005743;GO:0019866" "organelle inner membrane" 0.184411848438431
-18 0.815550763485526 4 26 "GO:0005759" "mitochondrial matrix" 0.868171320332796
114 0.0436312135308519 5 51 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.179008022877715
-106 0.259333503990796 5 18 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.487701813475228
-109 0.0553570937495622 2 51 "GO:0005768" "endosome" 0.184411848438431
-221 0.0189290710121689 5 18 "GO:0005769" "early endosome" 0.144550489059456
-109 0.293347401616241 5 15 "GO:0005770" "late endosome" 0.507361687557426
51 0.218369485486414 2 100 "GO:0005783" "endoplasmic reticulum" 0.438520962824014
-16 0.833720077462447 4 27 "GO:0005788" "endoplasmic reticulum lumen" 0.868171320332796
37 0.437060186551062 4 73 "GO:0005789" "endoplasmic reticulum membrane" 0.636019563262756
-9 0.841682716278936 2 82 "GO:0005794" "Golgi apparatus" 0.869278870911032
-11 0.898014367414886 3 24 "GO:0005802;GO:0098791;GO:0031984" "organelle subcompartment" 0.912498470115126
-13 0.820041659281273 5 47 "GO:0005813" "centrosome" 0.868171320332796
-19 0.708603444542156 2 67 "GO:0005815" "microtubule organizing center" 0.804360666777582
-113 0.116964915132516 2 31 "GO:0005819" "spindle" 0.30076692462647
260 0.0000237738099954405 2 43 "GO:0005840" "ribosome" 0.0029955000594255
-51 0.253995841478606 3 84 "GO:0005856" "cytoskeleton" 0.484901151913702
-61 0.293004588744354 5 49 "GO:0005874" "microtubule" 0.507361687557426
-186 0.0483796632531796 4 18 "GO:0005875" "microtubule associated complex" 0.179008022877715
-70 0.436892290528043 2 20 "GO:0005911" "cell-cell junction" 0.636019563262756
-131 0.0457213417413851 2 38 "GO:0005912;GO:0070161" "anchoring junction" 0.179008022877715
-114 0.13879767053719 2 27 "GO:0005925;GO:0005924;GO:0030055" "cell-substrate adherens junction" 0.342911891915411
-43 0.468193652821176 2 46 "GO:0005929" "cilium" 0.659889520301854
-46 0.61550437984408 2 19 "GO:0005930" "axoneme" 0.748159285066158
-19 0.817042360469035 2 23 "GO:0005938" "cell cortex" 0.868171320332796
18 0.795492776160694 2 34 "GO:0009986" "cell surface" 0.868171320332796
-107 0.0867973693823234 3 42 "GO:0010008;GO:0044440" "endosomal part" 0.246263689103124
-140 0.0938346256728267 2 23 "GO:0014069;GO:0099572" "postsynaptic density" 0.251556656059067
-22 0.805149154383454 4 20 "GO:0015629" "actin cytoskeleton" 0.868171320332796
146 0.047274364710296 2 30 "GO:0015935" "small ribosomal subunit" 0.179008022877715
-62 0.450381335319397 2 24 "GO:0016324" "apical plasma membrane" 0.644864184661864
-98 0.032779278087351 4 79 "GO:0016604" "nuclear body" 0.167564308473013
-111 0.0442335273122792 5 54 "GO:0016607" "nuclear speck" 0.179008022877715
-71 0.490341803740633 2 15 "GO:0019898" "extrinsic component of membrane" 0.664334056680858
157 0.0254004567533696 2 33 "GO:0022625;GO:0015934" "large ribosomal subunit" 0.157513903718126
153 0.0867751727610272 2 20 "GO:0022627" "cytosolic small ribosomal subunit" 0.246263689103124
-107 0.219261792648518 2 21 "GO:0030027" "lamellipodium" 0.438520962824014
-81 0.120712993743642 1 61 "GO:0030054" "cell junction" 0.304196744233978
4 0.966447788114878 2 18 "GO:0030133" "transport vesicle" 0.966447788114878
-172 0.0497244507993652 3 21 "GO:0030424" "axon" 0.179008022877715
-140 0.0428446523383269 3 34 "GO:0030425" "dendrite" 0.179008022877715
-114 0.271715902672858 2 15 "GO:0030427" "site of polarized growth" 0.496176865750436
-57 0.543789913484622 2 18 "GO:0030496" "midbody" 0.718930351823742
-7 0.918086689244977 3 34 "GO:0030659;GO:0012506" "vesicle membrane" 0.925431382758937
40 0.695984032589809 5 15 "GO:0030667" "secretory granule membrane" 0.804360666777582
-137 0.170080645269628 3 16 "GO:0030684" "preribosome" 0.396854838962465
-109 0.0879513175368301 3 40 "GO:0031226;GO:0005887" "intrinsic component of plasma membrane" 0.246263689103124
30 0.756847633602366 4 17 "GO:0031248;GO:1902493" "acetyltransferase complex" 0.843918600299983
-140 0.0933174507421095 3 23 "GO:0031253" "cell projection membrane" 0.251556656059067
-31 0.687942172951653 2 28 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 0.804360666777582
-36 0.340141709142424 2 123 "GO:0031410;GO:0097708" "intracellular vesicle" 0.542504498125891
-40 0.603528322284243 4 27 "GO:0031514" "motile cilium" 0.748159285066158
-94 0.222740806513785 3 27 "GO:0031965" "nuclear membrane" 0.438520962824014
132 0.00665021732656585 2 70 "GO:0031966" "mitochondrial membrane" 0.124405406839028
-32 0.321031867579122 3 168 "GO:0031982" "vesicle" 0.525324874220381
-100 0.178961863593657 2 29 "GO:0033267" "axon part" 0.407748595058536
-41 0.690682556123946 4 15 "GO:0036064" "ciliary basal body" 0.804360666777582
-27 0.702710259226078 2 32 "GO:0036464;GO:0035770" "ribonucleoprotein granule" 0.804360666777582
-45 0.623700245199581 2 19 "GO:0042470;GO:0048770" "melanosome" 0.748440294239497
-117 0.0186327925770377 2 67 "GO:0043005" "neuron projection" 0.144550489059456
-101 0.154873415138135 2 32 "GO:0044297;GO:0043025" "cell body" 0.37156010563995
155 0.00271109481338002 3 62 "GO:0044391" "ribosomal subunit" 0.113865982161961
-107 0.00551649733589276 2 117 "GO:0044427" "chromosomal part" 0.124405406839028
100 0.00693647283274312 3 127 "GO:0044429" "mitochondrial part" 0.124405406839028
-52 0.269475012983319 3 74 "GO:0044431" "Golgi apparatus part" 0.496176865750436
19 0.607081811310883 2 133 "GO:0044432" "endoplasmic reticulum part" 0.748159285066158
-74 0.0866085188945736 3 90 "GO:0044433" "cytoplasmic vesicle part" 0.246263689103124
-142 0.0366718663122814 2 35 "GO:0044437;GO:0005774" "vacuolar part" 0.177717505974902
-32 0.588697845861646 3 48 "GO:0044441" "ciliary part" 0.748159285066158
133 0.0118576934204569 4 59 "GO:0044445" "cytosolic part" 0.129775729397115
-68 0.355473244911206 4 30 "GO:0044448" "cell cortex part" 0.55987036073515
63 0.471349657358467 3 21 "GO:0044449" "contractile fiber part" 0.659889520301854
73 0.36156782252559 2 25 "GO:0044450" "microtubule organizing center part" 0.561186810886324
-77 0.0443933451004717 2 118 "GO:0044451" "nucleoplasm part" 0.179008022877715
-94 0.318618250494119 4 18 "GO:0044452" "nucleolar part" 0.525324874220381
-44 0.595659670104349 4 23 "GO:0044454" "nuclear chromosome part" 0.748159285066158
152 0.0123595932759157 2 44 "GO:0044455;GO:0098800" "mitochondrial membrane part" 0.129775729397115
-118 0.021797295969283 1 63 "GO:0044456" "synapse part" 0.144550489059456
-103 0.00499526003716801 2 130 "GO:0044459" "plasma membrane part" 0.124405406839028
-147 0.110712162328985 3 19 "GO:0045121;GO:0098857;GO:0098589" "membrane microdomain" 0.290619426113586
-25 0.617528298784765 1 68 "GO:0045202" "synapse" 0.748159285066158
12 0.822462860995907 3 59 "GO:0048471" "perinuclear region of cytoplasm" 0.868171320332796
54 0.313032147347255 2 57 "GO:0062023;GO:0031012" "extracellular matrix" 0.525324874220381
-31 0.480476208044426 3 85 "GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 0.661525889861836
-36 0.503052255974978 3 57 "GO:0070062;GO:1903561;GO:0043230" "extracellular exosome" 0.674304087796247
-109 0.181609033526727 2 24 "GO:0071005;GO:0071011" "precatalytic spliceosome" 0.407748595058536
-159 0.0577481936793973 2 23 "GO:0071013" "catalytic step 2 spliceosome" 0.184411848438431
-198 0.0475287979026365 2 16 "GO:0097223" "sperm part" 0.179008022877715
-102 0.00789875598977956 2 117 "GO:0097458" "neuron part" 0.124405406839028
-81 0.305857077499602 4 26 "GO:0097525;GO:0030532;GO:0120114" "small nuclear ribonucleoprotein complex" 0.520783672499322
13 0.88992869024227 2 17 "GO:0098552" "side of membrane" 0.911634268053057
-70 0.0528271820139 3 136 "GO:0098588" "bounding membrane of organelle" 0.184411848438431
-103 0.0275024276333235 2 77 "GO:0098590" "plasma membrane region" 0.157513903718126
-108 0.293947644378509 2 15 "GO:0098687" "chromosomal region" 0.507361687557426
-308 0.00209209928057496 2 16 "GO:0098793" "presynapse" 0.113865982161961
-216 0.0186155697940591 2 19 "GO:0098794" "postsynapse" 0.144550489059456
31 0.395518851747644 2 128 "GO:0098796" "membrane protein complex" 0.600426208677146
-47 0.554673649621689 2 26 "GO:0098797" "plasma membrane protein complex" 0.720503916003431
138 0.0173196780492928 4 49 "GO:0098798" "mitochondrial protein complex" 0.144550489059456
-57 0.184457697764576 2 93 "GO:0098805" "whole membrane" 0.407748595058536
-130 0.208948108344147 3 15 "GO:0098858" "actin-based cell projection" 0.438520962824014
-108 0.156291155546963 2 28 "GO:0098978" "glutamatergic synapse" 0.37156010563995
-44 0.605173229517984 4 22 "GO:0099503" "secretory vesicle" 0.748159285066158
-115 0.0198024826737669 3 68 "GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular fiber" 0.144550489059456
-84 0.236719067926453 2 32 "GO:0099568" "cytoplasmic region" 0.458870808595894
-66 0.0585434439487084 2 145 "GO:0120025;GO:0042995" "cell projection" 0.184411848438431
-98 0.00982248142713356 2 121 "GO:0120038;GO:0044463" "plasma membrane bounded cell projection part" 0.129775729397115
65 0.424708260970197 2 24 "GO:1905368;GO:0000502;GO:1905369" "peptidase complex" 0.636019563262756
126 0.0861656467860968 2 30 "GO:1990204;GO:0098803" "oxidoreductase complex" 0.246263689103124
18 0.70702120138893 3 76 "GO:1990234" "transferase complex" 0.804360666777582
