"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
88 0.342343581784299 2 19 "GO:0000287" "magnesium ion binding" 0.805514310080704
-98 0.0508662641210094 5 67 "GO:0000977;GO:0000976;GO:0001012;GO:0044212;GO:0001067" "transcription regulatory region DNA binding" 0.244158067780845
-117 0.0394554295358855 2 52 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.197277147679428
-55 0.299419200675106 3 61 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.733271511857402
37 0.654092902244858 2 24 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.90805379719083
-81 0.283920905135978 4 29 "GO:0001664" "G protein-coupled receptor binding" 0.733271511857402
-38 0.482941503027794 2 58 "GO:0003682" "chromatin binding" 0.859394312151831
27 0.669772252753097 2 42 "GO:0003712" "transcription coregulator activity" 0.90805379719083
137 0.11283772658757 3 22 "GO:0003713" "transcription coactivator activity" 0.39741512117844
-52 0.565384508050483 2 20 "GO:0003714" "transcription corepressor activity" 0.895397578193601
-79 0.155079263757728 4 55 "GO:0003729" "mRNA binding" 0.473084904535026
174 0.000198968381483391 2 78 "GO:0003735" "structural constituent of ribosome" 0.0119381028890035
-110 0.290910064680345 2 15 "GO:0003743" "translation initiation factor activity" 0.733271511857402
-93 0.0876297892876343 2 57 "GO:0003779" "actin binding" 0.350519157150537
-3 0.963218563313593 4 32 "GO:0003924" "GTPase activity" 0.977978280351143
93 0.354678442292668 2 16 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.81848871298308
177 0.000813127502874375 5 60 "GO:0004175" "endopeptidase activity" 0.0203626611503048
-209 0.00739693916914474 2 27 "GO:0004386" "helicase activity" 0.0887632700297369
63 0.510462113756556 2 18 "GO:0004518;GO:0004519" "nuclease activity" 0.869718415997032
-7 0.937608886641741 2 20 "GO:0004674" "protein serine/threonine kinase activity" 0.977978280351143
-36 0.567944972201627 4 41 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.895397578193601
-2 0.977978280351143 2 31 "GO:0004857" "enzyme inhibitor activity" 0.977978280351143
-45 0.588908092249512 2 24 "GO:0004888" "transmembrane signaling receptor activity" 0.895397578193601
-94 0.0205257663848672 3 106 "GO:0005102" "signaling receptor binding" 0.14488776271671
-56 0.529078703064861 5 21 "GO:0005109;GO:0017147" "frizzled binding" 0.869718415997032
