GO:0003735	GO:0046914	GO:0035091	GO:0046982	GO:0016835	GO:0051015	GO:0061629	GO:0009055	GO:0140030	GO:0016772	GO:0003924	GO:0008238	GO:0030246	GO:0046983	GO:0008017	GO:1901681	GO:0000978;GO:0000987	GO:0033218	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001	GO:0003964;GO:0034061	GO:0031267	GO:0005109;GO:0017147	GO:0022857;GO:0005215	GO:0016757	GO:0005200	GO:0015078	GO:0031072	GO:0140297	GO:0015631	GO:0004857	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0140110	GO:0005543	GO:0051082	GO:0016616;GO:0016614	GO:0004888	GO:0016779	GO:0090079;GO:0008135	GO:0019901;GO:0019900	GO:0003779	GO:0005102	GO:0022853	GO:0008237	GO:0004518;GO:0004519	GO:0050662	GO:0140098	GO:0008324;GO:0015075;GO:0015318	GO:0019843	GO:0016887	GO:0008134	GO:0016209	GO:0030234	GO:0022804	GO:0020037;GO:0046906	GO:0008234	GO:0046873	GO:0001664	GO:0003729	GO:0042393	GO:0016651	GO:0051020	GO:0000977;GO:0000976;GO:0001012;GO:0044212;GO:0001067	GO:0016491	GO:0098772	GO:0008289	GO:0003682	GO:0016773;GO:0004672	GO:0016853	GO:0016859	GO:0008092	GO:0044877	GO:0004674	GO:0030545;GO:0030546;GO:0048018	GO:0003712	GO:0042803	GO:0060090	GO:0005198	GO:0038023;GO:0060089	GO:0001228;GO:0001216	GO:0016301	GO:0004175	GO:0043565;GO:0003690;GO:1990837	GO:0061134	GO:0000981;GO:0003700	GO:0008047	GO:0019904	GO:0003743	GO:0003713	GO:0016788	GO:0015077	GO:0005506	GO:0004842;GO:0019787	GO:0016667	GO:0052689	GO:0005509	GO:0061659;GO:0061630	GO:0008270	GO:0016874	GO:0042578	GO:0045182	GO:0042277	GO:0070011;GO:0008233	GO:0042802	GO:0043021	GO:0016747;GO:0016746	GO:0042623	GO:0048037	GO:0008236;GO:0017171;GO:0016825;GO:0004252	GO:0140097	GO:0000287	GO:0050839	GO:0016829	GO:0005539	GO:0016298	GO:0003714	GO:0031625;GO:0044389	GO:0016741	GO:0004386	GO:0022890	GO:0042626;GO:0015399
0	0.987	1.000	1.000	0.882	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.968	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.143	1.000	0.983	1.000	0.985	1.000	1.000	1.000	1.000	1.000	0.873	1.000	1.000	1.000	1.000	1.000	0.987	1.000	1.000	1.000	1.000	1.000	1.000	0.962	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.987	1.000	1.000	0.970	1.000	1.000	0.987	0.920	1.000	1.000	1.000	1.000	0.926	1.000	1.000	0.931	1.000	1.000	1.000	0.919	1.000	1.000	1.000	1.000
0.987	0	0.875	1.000	0.706	0.971	0.909	0.812	0.826	0.912	1.000	0.529	0.929	0.947	1.000	0.909	0.904	0.893	0.983	0.875	1.000	1.000	0.989	0.895	1.000	1.000	0.941	0.909	1.000	0.903	0.953	0.905	0.926	0.909	1.000	1.000	0.905	1.000	0.917	0.982	0.887	1.000	0.400	0.778	0.857	0.872	1.000	1.000	0.924	0.898	0.882	0.955	1.000	0.750	1.000	1.000	0.966	0.909	0.880	0.952	1.000	0.910	0.789	0.948	0.940	0.914	0.892	1.000	1.000	0.990	0.961	0.900	0.952	0.881	0.912	1.000	0.992	1.000	0.875	0.913	0.900	0.911	0.882	0.918	1.000	0.844	1.000	0.818	0.862	1.000	0.000	0.585	0.938	0.889	0.957	0.417	0.000	0.920	0.938	0.848	0.850	0.837	0.875	1.000	0.962	0.886	0.813	0.955	0.926	0.895	0.920	0.759	0.867	1.000	0.850	0.838	0.933	0.852	1.000	1.000
1.000	0.875	0	0.875	1.000	0.875	1.000	1.000	1.000	0.875	1.000	0.938	1.000	0.812	0.875	1.000	1.000	1.000	1.000	1.000	0.938	0.938	0.938	0.938	1.000	1.000	1.000	1.000	0.875	0.938	0.875	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.938	0.875	0.750	1.000	0.938	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.875	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	0.938	1.000	1.000	0.812	0.000	1.000	0.875	1.000	1.000	0.688	0.812	0.938	1.000	1.000	0.875	0.875	1.000	1.000	1.000	0.875	1.000	1.000	0.938	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	0.938	1.000	1.000	1.000	1.000	0.938	0.750	1.000	1.000	0.875	1.000	1.000	1.000	1.000	0.812	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.875	0	1.000	0.941	1.000	1.000	0.957	1.000	1.000	1.000	1.000	0.000	0.950	1.000	0.923	1.000	1.000	1.000	1.000	0.952	1.000	1.000	0.909	1.000	1.000	0.939	0.970	0.968	1.000	0.897	0.926	1.000	1.000	1.000	1.000	1.000	0.897	0.949	0.872	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.872	1.000	0.974	1.000	1.000	1.000	1.000	0.897	0.974	0.960	1.000	1.000	0.897	1.000	0.974	0.949	0.923	1.000	1.000	1.000	0.846	0.795	1.000	1.000	1.000	0.769	0.905	0.949	1.000	0.958	1.000	1.000	0.846	1.000	0.897	1.000	0.949	1.000	1.000	0.923	1.000	1.000	1.000	1.000	0.963	0.974	1.000	1.000	1.000	0.875	0.970	1.000	1.000	0.718	1.000	0.962	1.000	1.000	1.000	1.000	1.000	0.880	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.882	0.706	1.000	1.000	0	1.000	1.000	1.000	1.000	0.941	1.000	1.000	1.000	0.941	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	1.000	1.000	0.941	1.000	1.000	1.000	0.941	1.000	1.000	1.000	1.000	0.941	1.000	1.000	1.000	1.000	0.941	1.000	1.000	0.941	1.000	1.000	1.000	0.941	1.000	0.882	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.882	1.000	0.882	1.000	1.000	0.882	1.000	1.000	0.824	1.000	1.000	1.000	1.000	1.000	0.941	1.000	1.000	1.000	0.824	1.000	0.824	0.941	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.971	0.875	0.941	1.000	0	1.000	1.000	1.000	0.941	1.000	1.000	1.000	0.912	0.950	0.955	1.000	1.000	0.971	1.000	0.895	1.000	0.941	1.000	0.773	1.000	1.000	1.000	0.939	1.000	0.882	1.000	0.889	1.000	1.000	1.000	1.000	1.000	0.882	0.000	0.765	1.000	1.000	1.000	1.000	1.000	0.941	1.000	0.912	0.912	1.000	0.971	1.000	1.000	1.000	0.960	0.966	0.971	1.000	1.000	0.933	1.000	1.000	0.941	0.912	1.000	0.971	1.000	1.000	0.000	0.000	1.000	1.000	1.000	0.912	1.000	0.824	1.000	1.000	0.941	1.000	1.000	1.000	1.000	0.955	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.765	1.000	0.971	1.000	1.000	0.970	1.000	1.000	0.882	1.000	1.000	0.941	1.000	1.000	1.000	1.000	0.680	1.000	0.933	1.000	1.000	1.000	1.000	1.000	0.971	1.000
1.000	0.909	1.000	1.000	1.000	1.000	0	1.000	0.909	0.955	1.000	1.000	0.955	1.000	1.000	1.000	0.818	0.909	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	0.000	0.909	1.000	0.909	0.636	1.000	0.955	1.000	1.000	1.000	1.000	0.909	1.000	0.318	1.000	1.000	1.000	0.909	0.955	1.000	1.000	0.909	0.000	1.000	0.955	1.000	1.000	1.000	1.000	1.000	0.909	0.864	1.000	1.000	0.818	0.955	0.955	1.000	0.773	0.955	0.955	0.933	0.864	0.864	1.000	1.000	0.727	1.000	0.905	1.000	0.864	0.955	0.955	0.955	0.818	1.000	0.909	0.955	0.955	1.000	0.864	1.000	1.000	0.955	0.955	1.000	1.000	0.864	0.955	0.955	1.000	1.000	1.000	0.900	0.955	0.864	0.909	0.955	0.909	0.909	1.000	1.000	1.000	0.955	1.000	1.000	1.000	0.800	0.909	1.000	0.909	1.000	1.000
1.000	0.812	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.812	1.000	1.000	0.812	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.812	1.000	0.812	1.000	1.000	1.000	0.938	1.000	1.000	0.562	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.812	0.812	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.375	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.812	1.000
1.000	0.826	1.000	0.957	1.000	1.000	0.909	1.000	0	0.913	1.000	1.000	1.000	0.957	0.950	1.000	0.957	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	0.913	0.913	1.000	0.826	0.739	1.000	1.000	1.000	1.000	1.000	1.000	0.957	1.000	0.870	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.826	0.826	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.957	0.391	1.000	1.000	0.913	1.000	1.000	1.000	0.652	0.913	1.000	1.000	0.913	0.696	0.950	1.000	0.783	0.957	1.000	1.000	1.000	0.957	0.913	1.000	0.913	1.000	0.957	1.000	0.870	1.000	0.818	1.000	1.000	1.000	0.913	1.000	1.000	0.957	0.913	0.826	1.000	1.000	0.957	1.000	1.000	0.826	0.957	0.957	0.870	1.000	1.000	0.913	1.000	0.957	1.000	1.000	1.000	0.950	0.913	0.933	0.870	1.000	1.000
1.000	0.912	0.875	1.000	0.941	0.941	0.955	1.000	0.913	0	1.000	1.000	1.000	0.971	1.000	1.000	0.962	1.000	0.966	0.000	0.842	1.000	0.985	1.000	1.000	1.000	0.941	0.970	0.970	1.000	1.000	0.941	0.889	1.000	1.000	0.708	0.000	1.000	0.896	0.965	0.956	1.000	1.000	0.500	1.000	0.872	0.984	1.000	1.000	0.983	1.000	0.985	1.000	1.000	1.000	0.960	1.000	0.982	0.920	0.952	0.867	0.955	0.971	0.956	0.920	0.931	0.000	0.941	1.000	0.956	0.926	0.000	0.952	0.929	0.982	1.000	1.000	0.714	0.958	0.000	0.900	0.956	1.000	0.984	0.955	0.911	1.000	0.864	0.862	1.000	1.000	0.951	0.938	1.000	0.971	0.958	0.941	1.000	1.000	1.000	1.000	0.912	0.897	1.000	1.000	1.000	1.000	1.000	0.370	0.737	0.920	0.966	1.000	1.000	0.950	0.973	1.000	1.000	0.977	1.000
