"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-9 0.881039394148811 2 62 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.957430093063448
-119 0.114565391432837 2 39 "GO:0000209" "protein polyubiquitination" 0.497757585511909
25 0.730103361880442 4 42 "GO:0000226" "microtubule cytoskeleton organization" 0.930042145032902
126 0.0473953156276645 3 55 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 0.393445802530168
-170 0.0548440784226304 2 28 "GO:0001503" "ossification" 0.41333778627583
59 0.487428678285364 2 30 "GO:0001558" "regulation of cell growth" 0.85823269494514
-158 0.043984607743316 4 36 "GO:0001817" "regulation of cytokine production" 0.385941963687878
-14 0.794834546419351 2 75 "GO:0001932" "regulation of protein phosphorylation" 0.930042145032902
-20 0.757257256917206 3 55 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 0.930042145032902
-157 0.0545988353522953 2 33 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.41333778627583
240 0.00577945493998793 2 29 "GO:0002181" "cytoplasmic translation" 0.0987761389743392
-195 0.00874302375858348 2 40 "GO:0002252" "immune effector process" 0.131495077329096
-136 0.00395960251499273 1 104 "GO:0002376" "immune system process" 0.0780932217907436
-37 0.503627828081273 3 76 "GO:0002682" "regulation of immune system process" 0.863267790471912
-81 0.247550845834163 4 45 "GO:0002684" "positive regulation of immune system process" 0.684405279659157
-59 0.530467621751343 2 25 "GO:0002791" "regulation of peptide secretion" 0.878660025455969
-71 0.416103165934643 4 29 "GO:0002831" "regulation of response to biotic stimulus" 0.806360136472868
-45 0.543301257501595 2 41 "GO:0003006" "developmental process involved in reproduction" 0.884334514374891
-109 0.0566183760090221 2 69 "GO:0003008" "system process" 0.41333778627583
108 0.0899744847456468 2 55 "GO:0005975" "carbohydrate metabolic process" 0.492582108023051
25 0.762013482873689 2 32 "GO:0006066" "alcohol metabolic process" 0.930042145032902
50 0.462209522251713 2 49 "GO:0006091" "generation of precursor metabolites and energy" 0.839568987278474
-44 0.407762470999337 4 80 "GO:0006259" "DNA metabolic process" 0.806360136472868
-74 0.27896488262079 2 48 "GO:0006281" "DNA repair" 0.713542829016443
-21 0.681625868069364 3 91 "GO:0006325" "chromatin organization" 0.929295959209533
-83 0.367460174511399 2 26 "GO:0006338" "chromatin remodeling" 0.789452858251142
-19 0.830213056732186 4 27 "GO:0006351;GO:0097659" "transcription, DNA-templated" 0.94593972524637
