"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
76 0.2016319345151 2 53 "GO:0000139" "Golgi membrane" 0.924725768638217
41 0.621905894021364 2 26 "GO:0000151" "ubiquitin ligase complex" 0.986807784161412
110 0.209206830845696 4 24 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.927483616749252
73 0.505356251906119 3 15 "GO:0000776" "kinetochore" 0.986807784161412
-43 0.457898479709653 4 56 "GO:0000785" "chromatin" 0.986807784161412
-56 0.506994379100066 3 26 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.986807784161412
80 0.42679069779088 2 18 "GO:0000922" "spindle pole" 0.986807784161412
-32 0.69963445151054 2 27 "GO:0000932" "P-body" 0.986807784161412
-125 0.000432650273064035 1 161 "GO:0005576" "extracellular region" 0.0575424863175167
-143 0.0491812408812366 2 35 "GO:0005581" "collagen trimer" 0.408819064825279
-108 0.00670601030229156 2 124 "GO:0005615" "extracellular space" 0.14864989503413
96 0.292455563325753 2 22 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.986807784161412
-59 0.510927928090075 2 23 "GO:0005667" "transcription factor complex" 0.986807784161412
130 0.0221901145615591 2 58 "GO:0005681" "spliceosomal complex" 0.296971349090776
64 0.392916242271945 2 33 "GO:0005684" "U2-type spliceosomal complex" 0.986807784161412
41 0.602605194545677 4 30 "GO:0005694" "chromosome" 0.986807784161412
64 0.133396338635607 3 105 "GO:0005730" "nucleolus" 0.806441501751624
13 0.71135285425568 4 155 "GO:0005739" "mitochondrion" 0.986807784161412
-222 0.0232182483508899 3 19 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.296971349090776
58 0.322581566193558 3 55 "GO:0005743;GO:0019866" "organelle inner membrane" 0.986807784161412
-8 0.919340328934187 2 27 "GO:0005759" "mitochondrial matrix" 0.986807784161412
75 0.453965275628708 6 18 "GO:0005765;GO:0098852" "lysosomal membrane" 0.986807784161412
1 0.986807784161412 4 55 "GO:0005768" "endosome" 0.986807784161412
14 0.881298335086396 2 21 "GO:0005769" "early endosome" 0.986807784161412
19 0.860903525129559 2 16 "GO:0005770" "late endosome" 0.986807784161412
4 0.952628106145673 2 53 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.986807784161412
11 0.803199717790581 4 104 "GO:0005783" "endoplasmic reticulum" 0.986807784161412
-16 0.840803444015924 4 29 "GO:0005788" "endoplasmic reticulum lumen" 0.986807784161412
23 0.640359567984371 4 80 "GO:0005789" "endoplasmic reticulum membrane" 0.986807784161412
-18 0.694659646339003 4 90 "GO:0005794" "Golgi apparatus" 0.986807784161412
73 0.382858482694284 4 26 "GO:0005802;GO:0098791;GO:0031984" "Golgi subcompartment" 0.986807784161412
6 0.91510458775068 2 53 "GO:0005813" "centrosome" 0.986807784161412
7 0.888730074442702 4 76 "GO:0005815" "microtubule organizing center" 0.986807784161412
154 0.0312601420095554 3 36 "GO:0005819" "spindle" 0.296971349090776
187 0.00328580264637946 3 46 "GO:0005840" "ribosome" 0.0874023503936936
1 0.983685180639221 4 92 "GO:0005856" "cytoskeleton" 0.986807784161412
124 0.0281237959329443 2 59 "GO:0005874" "microtubule" 0.296971349090776
108 0.245477085339451 3 21 "GO:0005875" "microtubule associated complex" 0.960248598533735
-200 0.00186278513463832 3 45 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.0825834743022989
-76 0.423647191640903 2 20 "GO:0005911" "cell-cell junction" 0.986807784161412
-68 0.312852929565966 2 41 "GO:0005912;GO:0070161" "anchoring junction" 0.986807784161412
-41 0.600181878557075 2 30 "GO:0005925;GO:0005924;GO:0030055" "cell-substrate adherens junction" 0.986807784161412
-64 0.308812781059536 2 47 "GO:0005929" "cilium" 0.986807784161412
-81 0.408616064797405 3 19 "GO:0005930" "axoneme" 0.986807784161412
3 0.973375840528855 5 26 "GO:0005938" "cell cortex" 0.986807784161412
-131 0.0664625480681808 2 36 "GO:0009986" "cell surface" 0.465237836477266
36 0.681445471528683 2 24 "GO:0014069;GO:0099572" "postsynaptic density" 0.986807784161412
55 0.553777368950801 2 21 "GO:0015629" "actin cytoskeleton" 0.986807784161412
179 0.0167422338077987 2 33 "GO:0015935" "small ribosomal subunit" 0.296971349090776
-252 0.00271446833745246 3 26 "GO:0016324" "apical plasma membrane" 0.0874023503936936
65 0.172886734964316 3 83 "GO:0016604" "nuclear body" 0.851627250009408
109 0.0586599397842961 2 56 "GO:0016607" "nuclear speck" 0.458927764194787
10 0.930723978492463 2 15 "GO:0019898" "extrinsic component of membrane" 0.986807784161412
67 0.341235374536444 2 37 "GO:0022625;GO:0015934" "large ribosomal subunit" 0.986807784161412
191 0.0356685320203824 3 22 "GO:0022627" "cytosolic small ribosomal subunit" 0.316260983914057
14 0.869079574578322 2 24 "GO:0030027" "lamellipodium" 0.986807784161412
-46 0.39593130177232 1 64 "GO:0030054" "cell junction" 0.986807784161412
33 0.745786677886159 4 18 "GO:0030133" "transport vesicle" 0.986807784161412
-7 0.932497857416353 4 25 "GO:0030424" "axon" 0.986807784161412
45 0.51390892443863 2 39 "GO:0030425" "dendrite" 0.986807784161412
66 0.501124110631121 2 19 "GO:0030427" "site of polarized growth" 0.986807784161412
4 0.960459326205398 2 23 "GO:0030496" "midbody" 0.986807784161412
99 0.161543528601641 3 37 "GO:0030659;GO:0012506" "cytoplasmic vesicle membrane" 0.826357280923779
76 0.478753571994385 2 16 "GO:0030667" "secretory granule membrane" 0.986807784161412
-2 0.9865165609947 2 16 "GO:0030684" "preribosome" 0.986807784161412
15 0.886968854657507 4 17 "GO:0031248;GO:1902493" "acetyltransferase complex" 0.986807784161412
5 0.958376182985589 3 24 "GO:0031253" "cell projection membrane" 0.986807784161412
73 0.36091126008935 3 29 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 0.986807784161412
20 0.604452794462017 3 129 "GO:0031410;GO:0097708" "intracellular vesicle" 0.986807784161412
-69 0.404570428166221 3 27 "GO:0031514" "motile cilium" 0.986807784161412
29 0.716594138499341 2 28 "GO:0031965" "nuclear membrane" 0.986807784161412
-8 0.883410636746491 2 71 "GO:0031966" "mitochondrial membrane" 0.986807784161412
-81 0.445191859526819 2 16 "GO:0031970" "organelle envelope lumen" 0.986807784161412
19 0.572004296442631 3 176 "GO:0031982" "vesicle" 0.986807784161412
5 0.948397248525502 2 32 "GO:0033267" "axon part" 0.986807784161412
-48 0.652447597679514 4 16 "GO:0036064" "ciliary basal body" 0.986807784161412
16 0.809257577604796 2 41 "GO:0036464;GO:0035770" "ribonucleoprotein granule" 0.986807784161412
21 0.828656234870463 5 20 "GO:0042470;GO:0048770" "melanosome" 0.986807784161412
13 0.799302572534238 2 74 "GO:0043005" "neuron projection" 0.986807784161412
13 0.858197375309943 2 34 "GO:0043025;GO:0044297" "cell body" 0.986807784161412
33 0.767460708007168 3 15 "GO:0043204" "perikaryon" 0.986807784161412
14 0.902548783457269 2 15 "GO:0043235" "receptor complex" 0.986807784161412
-21 0.607060019410692 2 120 "GO:0044427" "chromosomal part" 0.986807784161412
7 0.846084872633823 3 133 "GO:0044429" "mitochondrial part" 0.986807784161412
