"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-98 0.0601325934115572 3 69 "GO:0000976;GO:0044212;GO:0001067;GO:0000978;GO:0000977;GO:0000987;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.335024449007247
-88 0.103967536184453 3 63 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.414961077589745
-66 0.436521060045228 2 25 "GO:0001216" "DNA-binding transcription activator activity" 0.736139458402009
-130 0.0902459942520425 2 31 "GO:0001664" "G protein-coupled receptor binding" 0.391065975092184
29 0.60308360047425 2 58 "GO:0003682" "chromatin binding" 0.736139458402009
33 0.600659401392174 2 45 "GO:0003712" "transcription coregulator activity" 0.736139458402009
124 0.0289105622259893 3 58 "GO:0003729" "mRNA binding" 0.257849618018081
172 0.000280415676324858 2 85 "GO:0003735" "structural constituent of ribosome" 0.0109362113766695
32 0.548412133798242 2 64 "GO:0003779" "actin binding" 0.736139458402009
35 0.601424773199059 3 40 "GO:0003924" "GTPase activity" 0.736139458402009
46 0.398840621616478 5 62 "GO:0004175" "endopeptidase activity" 0.736139458402009
-31 0.685165749337617 2 31 "GO:0004386" "helicase activity" 0.785925418357855
110 0.107755855222991 3 39 "GO:0004672;GO:0016773" "phosphotransferase activity, alcohol group as acceptor" 0.414961077589745
-33 0.58248497382185 3 51 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.736139458402009
-92 0.231499082668856 2 31 "GO:0004857" "enzyme inhibitor activity" 0.622652705109337
-65 0.419465593278625 2 28 "GO:0004888" "transmembrane signaling receptor activity" 0.736139458402009
-73 0.0809092092434357 3 111 "GO:0005102" "signaling receptor binding" 0.391065975092184
152 0.0000444620858198909 1 143 "GO:0005198" "structural molecule activity" 0.00346804269395149
159 0.0574314510118141 2 26 "GO:0005200" "structural constituent of cytoskeleton" 0.335024449007247
-49 0.272925630171959 1 95 "GO:0005215;GO:0022857" "transporter activity" 0.679981930496806
-55 0.21880753683509 2 95 "GO:0005509" "calcium ion binding" 0.612524777544676
58 0.27051192533004 4 68 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "guanyl ribonucleotide binding" 0.679981930496806
-124 0.111720290120316 2 30 "GO:0005543" "phospholipid binding" 0.414961077589745
74 0.073192936743621 3 115 "GO:0008092" "cytoskeletal protein binding" 0.380603271066829
-52 0.355304367562492 3 59 "GO:0008134" "transcription factor binding" 0.736139458402009
-39 0.374452476923435 3 101 "GO:0008270" "zinc ion binding" 0.736139458402009
-167 0.00374981861731219 2 56 "GO:0008289" "lipid binding" 0.0731214630375877
