GO:0015629	GO:0036464;GO:0035770	GO:0098687	GO:0000785	GO:0120038;GO:0044463	GO:0045121;GO:0098857;GO:0098589	GO:0005739	GO:0071005;GO:0071011	GO:0030659;GO:0012506	GO:0072686	GO:0030667	GO:0016604	GO:0099503	GO:0030027	GO:0098805	GO:0031253	GO:0044437;GO:0005774	GO:0005667	GO:0043005	GO:0031301;GO:0031300	GO:0005802;GO:0098791;GO:0031984	GO:0048471	GO:0098978	GO:0043235	GO:0044455;GO:0098800	GO:0044433	GO:0030425	GO:0120025;GO:0042995	GO:1902495;GO:1990351	GO:0015935	GO:0005875	GO:0005769	GO:0005788	GO:0022627	GO:0031965	GO:0005759	GO:0000786;GO:0032993;GO:0044815	GO:0005938	GO:0044432	GO:1990234	GO:0005770	GO:0044450	GO:0005912;GO:0070161	GO:0000139	GO:0000502;GO:1905369;GO:1905368	GO:0005768	GO:0044440;GO:0010008	GO:0120114;GO:0097525;GO:0030532	GO:0044445;GO:0044391	GO:0005743;GO:0019866	GO:0005783	GO:0033267	GO:0044451	GO:0098588	GO:0098858	GO:0000922	GO:0097458	GO:0005730	GO:0070062;GO:1903561;GO:0043230	GO:0000776	GO:0062023;GO:0031012	GO:0019898	GO:0031410;GO:0097708	GO:0005856	GO:0005773;GO:0005764;GO:0000323	GO:0005815	GO:0098793	GO:0098798	GO:0005615	GO:0016607	GO:0005681	GO:0044429	GO:0031982	GO:0031248;GO:1902493	GO:0031514	GO:0005874	GO:0044441	GO:0099568	GO:0031970	GO:0098803;GO:1990204	GO:0044431	GO:0043025;GO:0044297	GO:0005840	GO:0005789	GO:0014069;GO:0099572	GO:0098590	GO:0005819	GO:0005911	GO:0000932	GO:0071013	GO:0044427	GO:0005765;GO:0098852	GO:0030424	GO:0044459	GO:0098796	GO:0043204	GO:0099512;GO:0099081;GO:0099080;GO:0099513	GO:0030496	GO:0098794	GO:0097223	GO:0022625;GO:0015934	GO:0005694	GO:0030054	GO:0044452	GO:0005887;GO:0031226	GO:0030684	GO:0005576	GO:0097060	GO:0005684	GO:0005741;GO:0031968;GO:0019867	GO:0036064	GO:0005635;GO:0031967;GO:0031975	GO:0016324	GO:0005794	GO:0000151	GO:0005813	GO:0031966	GO:0098552	GO:0005929	GO:0044456	GO:0044449	GO:0045202	GO:0009986	GO:0042470;GO:0048770	GO:0044454	GO:0098797	GO:0030427	GO:0030133	GO:0070013;GO:0043233;GO:0031974	GO:0005925;GO:0005924;GO:0030055	GO:0005581	GO:0005930	GO:0044448
0	1.000	1.000	0.857	0.381	1.000	1.000	1.000	1.000	1.000	1.000	0.952	1.000	0.857	0.952	0.762	0.952	0.905	0.714	1.000	0.952	0.762	0.857	1.000	1.000	1.000	0.810	0.381	0.933	1.000	0.952	0.952	1.000	1.000	1.000	1.000	0.952	0.857	1.000	0.905	1.000	0.905	0.762	0.952	1.000	0.905	1.000	1.000	1.000	1.000	0.952	0.905	0.857	0.952	0.812	1.000	0.667	0.905	0.905	1.000	1.000	0.933	0.762	0.000	0.952	0.952	0.944	1.000	1.000	1.000	1.000	1.000	0.714	0.882	0.952	0.905	0.905	0.857	1.000	1.000	0.905	0.857	1.000	1.000	0.952	0.762	1.000	0.800	1.000	1.000	0.810	1.000	0.905	0.714	0.952	0.933	0.667	1.000	0.857	0.941	1.000	1.000	0.571	0.944	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.952	0.952	0.762	1.000	0.952	1.000	1.000	0.952	0.810	0.905	0.762	1.000	1.000	1.000	0.952	0.842	1.000	1.000	0.762	1.000	0.947	0.905
1.000	0	0.933	0.976	0.854	1.000	0.976	0.960	1.000	1.000	1.000	0.927	1.000	0.875	1.000	1.000	1.000	1.000	0.878	1.000	1.000	0.878	1.000	1.000	1.000	1.000	0.872	0.854	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.962	1.000	1.000	1.000	0.938	0.963	1.000	0.976	0.875	0.976	1.000	0.889	0.976	1.000	0.976	0.969	0.927	0.976	0.938	0.944	0.829	0.902	1.000	0.933	1.000	0.933	0.976	0.976	0.951	0.976	0.944	1.000	1.000	0.976	0.927	1.000	0.976	1.000	1.000	1.000	0.976	1.000	1.000	1.000	0.976	0.941	1.000	1.000	0.958	0.976	1.000	1.000	0.000	0.960	0.951	1.000	0.920	0.976	1.000	0.867	0.976	1.000	0.952	0.941	0.973	0.933	1.000	0.944	1.000	1.000	1.000	0.933	0.970	1.000	1.000	1.000	1.000	0.976	1.000	0.976	1.000	1.000	1.000	0.976	0.905	0.927	0.972	1.000	1.000	1.000	0.947	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.933	0	0.867	0.867	0.933	0.933	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.867	1.000	0.933	0.933	1.000	1.000	1.000	1.000	0.933	0.867	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.867	0.533	1.000	0.933	0.933	0.867	0.800	1.000	0.933	1.000	0.933	1.000	1.000	1.000	1.000	0.867	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	0.867	0.933	0.933	1.000	1.000	1.000	0.000	1.000	0.933	0.933	1.000	0.933	1.000	1.000	0.933	1.000	1.000	0.733	1.000	0.933	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	0.867	1.000	0.867	1.000	1.000	0.800	1.000	0.933	1.000	1.000	1.000	1.000	1.000	1.000
0.857	0.976	0.867	0	0.964	1.000	0.982	1.000	1.000	0.938	1.000	0.857	1.000	1.000	1.000	1.000	1.000	0.609	0.982	1.000	1.000	0.929	1.000	1.000	1.000	1.000	0.974	0.964	1.000	1.000	1.000	1.000	1.000	1.000	0.893	1.000	0.692	1.000	1.000	0.911	1.000	0.963	0.976	1.000	1.000	1.000	1.000	0.963	1.000	1.000	0.946	0.969	0.750	1.000	1.000	0.944	0.929	0.929	0.982	0.933	1.000	1.000	1.000	0.929	1.000	0.911	1.000	1.000	0.982	0.964	0.964	1.000	0.982	0.824	1.000	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.972	0.950	1.000	0.960	0.000	1.000	1.000	1.000	1.000	0.933	0.982	0.957	1.000	1.000	1.000	0.800	0.964	0.889	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.964	0.962	0.925	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.696	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000
0.381	0.854	0.867	0.964	0	0.600	0.939	1.000	0.811	0.688	0.938	0.928	0.565	0.500	0.870	0.000	0.889	1.000	0.257	0.897	0.846	0.785	0.548	0.800	0.977	0.856	0.000	0.311	0.733	0.970	0.571	0.810	0.931	1.000	0.929	0.963	1.000	0.731	0.955	0.938	0.812	0.593	0.780	0.906	1.000	0.764	0.889	0.963	0.951	0.982	0.894	0.000	0.943	0.841	0.500	0.833	0.381	0.943	0.867	0.867	0.984	0.667	0.775	0.761	0.906	0.671	0.111	1.000	0.927	0.946	0.931	0.970	0.735	0.941	0.259	0.746	0.000	0.528	0.938	1.000	0.877	0.294	0.978	0.963	0.500	0.556	0.694	0.700	0.889	0.920	0.917	0.944	0.320	0.674	0.932	0.133	0.728	0.696	0.143	0.412	0.973	0.867	0.750	0.944	0.889	1.000	0.932	0.400	0.970	0.947	0.000	0.955	0.769	0.811	0.923	0.736	0.958	1.000	0.319	0.441	0.762	0.616	0.722	0.900	0.957	0.857	0.053	0.722	0.902	0.767	1.000	0.000	0.667
1.000	1.000	0.933	1.000	0.600	0	1.000	1.000	0.850	1.000	0.938	1.000	0.850	1.000	0.900	0.900	0.900	1.000	0.700	1.000	1.000	0.850	0.900	0.800	1.000	0.800	0.750	0.600	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.950	1.000	0.938	0.950	0.800	0.950	1.000	0.950	1.000	1.000	0.950	1.000	0.950	0.900	1.000	0.850	0.938	0.889	0.700	0.900	0.900	1.000	0.900	0.867	0.650	0.950	0.900	1.000	0.889	1.000	0.700	1.000	0.950	0.950	0.650	1.000	1.000	0.950	0.950	1.000	1.000	1.000	0.950	0.750	1.000	0.950	0.800	0.300	1.000	0.950	1.000	1.000	0.950	0.944	0.900	0.200	0.800	0.933	0.950	1.000	0.950	0.941	1.000	1.000	0.800	1.000	0.800	1.000	0.850	0.800	1.000	1.000	1.000	1.000	0.700	0.750	1.000	1.000	0.950	0.944	0.950	0.750	1.000	0.650	0.650	0.900	1.000	0.800	1.000	0.778	0.900	0.850	1.000	1.000	1.000
1.000	0.976	0.933	0.982	0.939	1.000	0	1.000	0.946	1.000	1.000	0.964	0.913	0.958	0.920	1.000	0.972	1.000	0.932	0.897	1.000	0.969	1.000	1.000	0.318	0.948	0.897	0.955	0.933	0.879	0.952	1.000	1.000	0.955	0.929	0.259	1.000	0.962	0.986	0.925	0.938	0.963	0.976	0.981	0.958	0.982	1.000	1.000	0.927	0.382	0.942	0.938	0.967	0.938	1.000	1.000	0.921	0.971	0.950	0.933	1.000	0.933	0.969	1.000	0.962	0.934	0.944	0.320	0.968	1.000	1.000	0.398	0.955	0.941	0.963	0.983	0.962	0.944	0.500	0.400	0.988	0.824	0.978	0.975	0.958	0.988	0.944	0.950	0.963	1.000	0.983	1.000	0.960	0.979	0.788	0.933	0.975	0.913	1.000	0.882	0.946	0.933	0.984	0.944	0.978	1.000	0.974	0.933	1.000	0.632	0.938	0.818	1.000	0.978	1.000	0.962	0.423	1.000	0.979	0.941	0.952	1.000	0.944	1.000	1.000	1.000	0.947	1.000	0.652	1.000	1.000	1.000	0.970
1.000	0.960	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.840	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.280	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.944	1.000	0.960	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.960	1.000	1.000	1.000	0.600	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.960	0.440	1.000	1.000	1.000	1.000	1.000	1.000	0.960	1.000	1.000	1.000	1.000	0.960	1.000	1.000	1.000	1.000	1.000	1.000	0.040	1.000	1.000	1.000	1.000	0.960	1.000	0.960	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.811	0.850	0.946	1.000	0	0.938	0.000	0.973	0.783	0.917	0.108	1.000	0.861	1.000	0.892	0.897	0.769	0.892	0.935	0.933	0.973	0.000	0.973	0.892	1.000	1.000	1.000	0.905	0.931	1.000	0.893	0.963	1.000	0.923	0.676	1.000	0.750	0.926	0.919	0.811	1.000	0.730	0.757	1.000	1.000	0.946	0.973	0.906	0.973	0.108	1.000	0.944	0.703	1.000	0.838	1.000	0.973	0.800	0.459	0.973	0.946	0.919	0.833	1.000	0.784	1.000	1.000	0.919	0.378	1.000	1.000	0.946	0.946	0.944	0.938	1.000	0.649	1.000	1.000	0.757	0.958	0.676	0.944	1.000	1.000	1.000	1.000	0.778	0.960	0.595	0.757	0.933	0.946	0.957	0.952	0.882	1.000	1.000	0.919	1.000	0.865	1.000	0.973	0.800	1.000	0.947	0.938	0.955	0.885	0.838	1.000	0.919	0.946	0.944	0.973	0.730	0.952	0.865	0.917	0.850	1.000	0.857	0.895	0.667	0.892	0.900	1.000	1.000	0.909
1.000	1.000	1.000	0.938	0.688	1.000	1.000	1.000	0.938	0	1.000	1.000	1.000	1.000	0.938	0.938	0.938	1.000	0.875	1.000	1.000	0.938	1.000	1.000	1.000	0.938	1.000	0.750	1.000	1.000	0.938	1.000	1.000	1.000	0.938	1.000	1.000	0.938	1.000	1.000	1.000	0.938	0.938	0.938	1.000	0.938	0.938	1.000	1.000	1.000	1.000	0.938	1.000	0.938	0.938	0.750	0.812	1.000	0.938	0.800	1.000	0.933	0.938	1.000	0.938	0.375	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	0.688	0.875	0.938	1.000	1.000	0.938	1.000	1.000	1.000	1.000	0.938	0.000	0.938	1.000	1.000	0.750	0.938	1.000	0.875	0.938	0.933	0.688	0.500	0.938	1.000	1.000	0.938	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	0.938	1.000	0.938	1.000	0.625	1.000	1.000	0.938	0.938	1.000	1.000	1.000	0.938	1.000	0.938	1.000	1.000	1.000	0.938	1.000	0.938	0.938
