GO:0016614	GO:0140098	GO:0045182	GO:0051015	GO:0070011;GO:0008233	GO:0090079	GO:0008092	GO:0016301	GO:0004842;GO:0019787	GO:0005509	GO:0140097	GO:0016772	GO:0050839	GO:0016746	GO:0015631	GO:0022890;GO:0008324	GO:0042623	GO:0016779	GO:0008134	GO:0043021	GO:0004175	GO:0001664	GO:0042393	GO:0008289	GO:0044877	GO:0019904	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001	GO:0022804	GO:0004888	GO:0046983	GO:0038023;GO:0060089	GO:0052689	GO:0048037	GO:0051020	GO:0015075;GO:0015318	GO:0005200	GO:0005543	GO:0003735	GO:0003729	GO:0003682	GO:0016491	GO:0015077	GO:0046914	GO:0001216	GO:0031625;GO:0044389	GO:0005215;GO:0022857	GO:0033218	GO:0019843	GO:0030246	GO:0016874	GO:0098772	GO:0046982	GO:0042802	GO:0003779	GO:0004857	GO:0030234	GO:0061630;GO:0061659	GO:0019901;GO:0019900	GO:0000976;GO:0044212;GO:0001067;GO:0000978;GO:0000977;GO:0000987;GO:0001012	GO:0140110	GO:0003712	GO:0003924	GO:0042803	GO:0016887	GO:0046873	GO:0016829	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0000981;GO:0003700	GO:0008270	GO:0004672;GO:0016773	GO:0016788	GO:0005198	GO:0140297	GO:0004386	GO:1990837;GO:0003690;GO:0043565	GO:0050662	GO:0016853	GO:0005102
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.963	1.000	1.000	1.000	1.000	0.963	0.963	1.000	1.000	1.000	1.000	0.963	1.000	0.963	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.963	0.963	1.000	0.889	1.000	1.000	0.963	1.000	1.000	1.000	0.963	0.963	1.000	0.963	1.000	1.000	0.963	1.000	1.000	1.000	1.000	0.963	1.000	0.963	1.000	1.000	0.704	0.963	1.000
1.000	0	0.921	1.000	0.978	0.960	0.978	1.000	1.000	1.000	0.909	0.867	1.000	1.000	1.000	1.000	0.667	0.769	0.978	0.880	0.978	1.000	1.000	0.978	0.933	0.978	0.978	1.000	1.000	0.933	1.000	0.852	0.978	1.000	1.000	1.000	1.000	1.000	0.889	0.978	0.978	1.000	0.889	1.000	0.973	1.000	1.000	1.000	1.000	0.679	1.000	1.000	0.933	1.000	1.000	1.000	1.000	0.978	0.978	0.978	0.978	1.000	0.978	0.667	1.000	1.000	0.667	1.000	0.911	1.000	0.667	1.000	0.970	0.516	0.978	0.978	1.000	0.978
1.000	0.921	0	0.973	0.974	0.000	0.947	1.000	0.842	1.000	1.000	1.000	1.000	1.000	0.973	1.000	0.947	1.000	0.974	0.840	1.000	1.000	0.962	1.000	0.842	1.000	0.842	1.000	1.000	0.974	1.000	0.963	1.000	0.938	1.000	1.000	1.000	0.974	0.789	0.974	1.000	1.000	0.789	1.000	1.000	1.000	1.000	0.966	1.000	0.964	0.974	0.974	0.947	0.974	1.000	1.000	0.806	1.000	0.974	0.974	1.000	0.842	0.974	0.947	1.000	1.000	0.789	0.974	0.789	1.000	0.974	0.974	1.000	0.935	0.974	1.000	1.000	1.000
1.000	1.000	0.973	0	1.000	1.000	0.000	0.946	1.000	0.784	1.000	0.946	0.704	1.000	0.946	0.973	0.946	1.000	0.919	1.000	1.000	0.968	1.000	0.892	0.000	1.000	0.973	1.000	1.000	0.919	1.000	1.000	1.000	0.938	0.946	0.808	0.867	1.000	0.973	1.000	1.000	1.000	0.973	1.000	1.000	0.946	1.000	1.000	1.000	1.000	0.946	0.946	0.892	0.000	1.000	0.973	1.000	0.892	1.000	1.000	1.000	1.000	0.919	0.919	0.963	1.000	0.865	1.000	0.973	0.973	1.000	0.838	1.000	1.000	1.000	1.000	1.000	0.784
1.000	0.978	0.974	1.000	0	0.960	1.000	1.000	1.000	0.955	0.758	0.893	1.000	0.962	1.000	1.000	0.981	0.692	0.983	0.960	0.000	1.000	1.000	0.982	0.955	1.000	1.000	1.000	1.000	0.966	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	0.818	1.000	0.919	1.000	0.906	1.000	1.000	1.000	0.966	1.000	0.932	1.000	0.935	0.957	1.000	1.000	1.000	1.000	1.000	1.000	0.950	0.987	1.000	1.000	0.989	1.000	0.852	1.000	0.889	1.000	0.970	1.000	1.000	1.000	1.000	1.000
1.000	0.960	0.000	1.000	0.960	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.960	1.000	0.960	0.880	1.000	1.000	1.000	1.000	0.880	1.000	0.760	1.000	1.000	1.000	1.000	1.000	1.000	0.960	1.000	1.000	1.000	1.000	0.840	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.960	1.000	0.960	1.000	1.000	1.000	1.000	1.000	0.960	0.960	1.000	0.760	1.000	0.960	1.000	1.000	0.720	0.960	1.000	1.000	1.000	1.000	1.000	0.960	0.960	1.000	1.000	1.000
1.000	0.978	0.947	0.000	1.000	1.000	0	0.938	0.961	0.853	1.000	0.960	0.593	1.000	0.000	0.945	0.827	1.000	0.881	1.000	1.000	0.903	0.885	0.804	0.617	0.894	0.941	1.000	0.964	0.909	0.950	1.000	0.976	0.781	0.939	0.692	0.667	1.000	0.931	0.879	0.983	0.964	0.991	0.880	0.919	0.958	1.000	1.000	1.000	0.929	0.910	0.850	0.887	0.000	0.935	0.929	0.968	0.827	0.957	0.964	0.978	0.950	0.900	0.855	0.889	1.000	0.870	0.952	0.990	0.949	0.986	0.904	0.909	1.000	0.957	0.958	0.971	0.865
1.000	1.000	1.000	0.946	1.000	1.000	0.938	0	0.958	0.958	0.970	0.000	0.926	1.000	0.973	0.979	1.000	1.000	0.979	1.000	1.000	1.000	0.923	0.917	0.896	0.915	0.979	1.000	0.714	0.979	0.725	1.000	1.000	0.906	0.979	1.000	0.900	1.000	0.979	0.917	0.958	1.000	0.917	0.960	0.973	0.979	1.000	1.000	1.000	1.000	0.958	1.000	0.875	0.958	1.000	0.979	0.968	0.896	0.938	0.917	0.933	1.000	0.979	1.000	0.963	1.000	1.000	0.979	0.958	0.000	1.000	1.000	0.970	1.000	0.938	1.000	0.943	0.938
1.000	1.000	0.842	1.000	1.000	1.000	0.961	0.958	0	1.000	1.000	0.961	1.000	1.000	1.000	1.000	1.000	1.000	0.980	1.000	1.000	1.000	0.923	1.000	0.980	0.979	1.000	1.000	1.000	0.980	0.975	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.961	0.961	1.000	1.000	0.549	1.000	0.811	1.000	0.969	1.000	1.000	1.000	0.961	1.000	0.922	0.980	0.968	0.961	0.000	0.941	0.980	0.941	0.933	1.000	0.980	0.922	1.000	1.000	0.922	1.000	0.549	0.949	1.000	1.000	0.970	1.000	0.980	1.000	1.000	0.980
1.000	1.000	1.000	0.784	0.955	1.000	0.853	0.958	1.000	0	1.000	0.973	0.778	1.000	0.946	0.945	1.000	1.000	0.932	1.000	0.935	1.000	1.000	0.911	0.853	0.957	0.985	1.000	0.929	0.937	0.925	0.741	0.976	0.938	0.955	1.000	0.867	1.000	0.983	0.948	0.979	0.964	0.958	0.960	0.973	0.958	0.938	1.000	0.931	1.000	0.916	0.975	0.916	0.859	0.903	0.914	1.000	0.942	1.000	0.989	1.000	1.000	0.917	0.987	0.889	1.000	0.989	0.984	0.968	0.974	0.889	0.968	0.879	1.000	1.000	0.979	0.914	0.874
1.000	0.909	1.000	1.000	0.758	1.000	1.000	0.970	1.000	1.000	0	0.364	1.000	1.000	1.000	1.000	0.788	0.231	0.939	1.000	0.758	1.000	0.923	1.000	0.970	0.939	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.939	1.000	0.848	1.000	1.000	0.879	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.939	1.000	0.939	1.000	1.000	0.939	1.000	0.970	0.909	0.970	0.970	1.000	1.000	0.788	1.000	0.900	0.788	1.000	0.879	0.970	0.636	0.939	0.970	0.774	0.848	1.000	0.939	0.970
1.000	0.867	1.000	0.946	0.893	1.000	0.960	0.000	0.961	0.973	0.364	0	0.926	1.000	0.973	0.982	1.000	0.000	0.983	1.000	0.871	1.000	0.923	0.929	0.933	0.915	0.971	1.000	0.714	0.960	0.725	1.000	1.000	0.875	0.985	1.000	0.900	1.000	0.983	0.931	0.973	1.000	0.893	0.960	0.973	0.987	1.000	1.000	1.000	1.000	0.960	1.000	0.907	0.969	1.000	0.986	0.968	0.904	0.957	0.947	0.933	1.000	0.983	1.000	0.963	0.967	1.000	0.984	0.920	0.000	0.847	1.000	0.970	1.000	0.960	1.000	0.943	0.960
1.000	1.000	1.000	0.704	1.000	1.000	0.593	0.926	1.000	0.778	1.000	0.926	0	1.000	0.889	1.000	1.000	1.000	0.926	1.000	1.000	1.000	1.000	0.778	0.407	0.926	1.000	1.000	1.000	0.889	0.926	1.000	1.000	0.926	0.963	0.808	0.852	1.000	0.926	1.000	1.000	1.000	0.926	1.000	0.963	0.963	0.963	1.000	0.963	1.000	0.926	0.889	0.815	0.630	1.000	0.963	1.000	0.889	1.000	1.000	1.000	1.000	0.889	0.963	1.000	1.000	0.963	1.000	0.963	0.963	1.000	0.778	0.963	1.000	1.000	1.000	1.000	0.519
1.000	1.000	1.000	1.000	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.885	0.960	1.000	1.000	0.962	0.962	0.923	0.962	1.000	1.000	1.000	0.962	1.000	0.885	0.962	1.000	1.000	1.000	1.000	1.000	1.000	0.923	0.962	1.000	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.962	0.846	1.000	1.000	1.000	1.000	1.000	0.962	0.885	0.923	1.000	0.962	1.000	1.000	1.000	1.000	1.000	0.962	1.000	0.846	1.000	0.923	1.000	0.962	0.962	0.962	0.923
1.000	1.000	0.973	0.946	1.000	1.000	0.000	0.973	1.000	0.946	1.000	0.973	0.889	1.000	0	1.000	0.811	1.000	0.946	1.000	1.000	1.000	0.885	0.892	0.865	0.973	0.973	1.000	1.000	0.919	1.000	1.000	0.973	0.938	1.000	1.000	0.867	1.000	0.919	0.838	0.973	1.000	1.000	0.960	0.919	1.000	1.000	1.000	1.000	0.964	0.919	0.973	0.892	0.919	1.000	0.946	1.000	0.892	0.973	0.946	0.973	0.973	0.919	0.757	1.000	1.000	0.730	0.973	1.000	1.000	1.000	0.946	0.939	1.000	0.946	0.973	0.971	0.892
1.000	1.000	1.000	0.973	1.000	1.000	0.945	0.979	1.000	0.945	1.000	0.982	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.945	0.909	0.957	0.982	0.296	0.857	1.000	0.875	1.000	0.982	1.000	0.000	1.000	0.967	1.000	0.982	1.000	0.945	0.000	1.000	1.000	1.000	0.000	1.000	1.000	0.966	1.000	0.982	1.000	0.927	0.982	1.000	1.000	1.000	0.942	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.982	1.000	1.000	0.974	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.982
1.000	0.667	0.947	0.946	0.981	0.960	0.827	1.000	1.000	1.000	0.788	1.000	1.000	1.000	0.811	1.000	0	1.000	0.885	0.920	0.981	0.968	0.846	0.923	0.846	0.936	1.000	1.000	1.000	0.981	1.000	1.000	1.000	1.000	1.000	1.000	0.867	1.000	0.942	0.885	1.000	1.000	0.904	1.000	0.946	1.000	0.969	1.000	1.000	1.000	0.942	1.000	0.923	0.962	1.000	0.942	1.000	0.981	0.981	0.942	0.933	1.000	0.981	0.000	1.000	1.000	0.000	1.000	0.904	1.000	0.962	1.000	0.909	0.000	0.962	1.000	0.971	0.942
1.000	0.769	1.000	1.000	0.692	1.000	1.000	1.000	1.000	1.000	0.231	0.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.692	1.000	1.000	1.000	1.000	1.000	0.962	1.000	1.000	0.923	1.000	1.000	1.000	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.846	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.962	1.000	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.962	1.000	1.000	0.846	1.000	0.577	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.963	0.978	0.974	0.919	0.983	0.960	0.881	0.979	0.980	0.932	0.939	0.983	0.926	0.885	0.946	1.000	0.885	1.000	0	0.920	0.983	0.935	0.846	0.964	0.847	0.894	1.000	1.000	1.000	0.881	0.925	1.000	0.949	0.969	1.000	0.885	0.967	0.983	0.966	0.828	0.966	1.000	0.898	0.720	0.865	1.000	0.906	0.966	0.966	1.000	0.898	0.875	0.780	0.949	0.935	0.932	0.968	0.865	0.729	0.576	0.667	1.000	0.915	0.898	1.000	1.000	0.898	0.814	0.915	0.974	1.000	0.932	0.000	0.903	0.644	0.938	0.971	0.627
1.000	0.880	0.840	1.000	0.960	0.880	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.960	1.000	1.000	0.920	1.000	0.920	0	1.000	1.000	0.960	1.000	0.000	0.880	0.920	1.000	1.000	0.960	0.960	1.000	1.000	1.000	1.000	1.000	1.000	0.920	0.800	0.920	1.000	1.000	1.000	1.000	0.960	0.960	0.960	1.000	1.000	1.000	0.960	1.000	0.920	1.000	0.960	0.960	1.000	0.920	1.000	0.960	0.960	0.920	0.960	0.920	1.000	1.000	0.840	1.000	1.000	1.000	0.960	0.920	0.920	0.920	1.000	1.000	1.000	0.840
1.000	0.978	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.935	0.758	0.871	1.000	1.000	1.000	1.000	0.981	0.692	0.983	1.000	0	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.871	1.000	0.946	1.000	0.938	1.000	1.000	1.000	0.984	1.000	0.935	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	0.983	0.984	1.000	1.000	0.984	1.000	0.871	1.000	0.871	1.000	0.970	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.968	1.000	1.000	0.903	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.968	1.000	0.935	1.000	1.000	0	1.000	0.935	0.903	0.935	0.968	1.000	1.000	0.871	1.000	1.000	1.000	0.968	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	0.968	1.000	0.968	1.000	0.935	1.000	1.000	1.000	0.903	0.903	0.839	0.968	1.000	0.968	1.000	0.903	1.000	1.000	1.000	0.968	0.935	0.968	1.000	1.000	0.935	1.000	1.000	1.000	0.935	1.000	1.000	1.000	1.000	1.000	1.000	0.000
1.000	1.000	0.962	1.000	1.000	1.000	0.885	0.923	0.923	1.000	0.923	0.923	1.000	0.962	0.885	1.000	0.846	1.000	0.846	0.960	1.000	1.000	0	1.000	0.769	0.962	1.000	1.000	1.000	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.962	0.462	1.000	1.000	0.885	0.960	0.962	1.000	1.000	1.000	1.000	1.000	0.923	0.962	0.923	1.000	0.962	0.923	0.923	1.000	0.885	0.692	0.731	1.000	0.962	0.846	1.000	1.000	0.846	0.962	0.885	0.923	1.000	1.000	0.885	0.846	0.885	1.000	1.000	0.846
0.963	0.978	1.000	0.892	0.982	1.000	0.804	0.917	1.000	0.911	1.000	0.929	0.778	0.962	0.892	0.945	0.923	1.000	0.964	1.000	1.000	0.935	1.000	0	0.857	0.979	0.946	0.926	0.964	0.929	0.950	0.963	0.946	0.938	0.946	0.962	0.000	1.000	0.964	1.000	0.982	0.929	0.946	1.000	0.946	0.875	0.906	1.000	1.000	1.000	0.946	0.950	0.857	0.893	0.968	0.964	1.000	0.981	1.000	0.982	0.978	0.975	0.946	0.911	0.963	1.000	0.893	1.000	0.982	0.897	0.946	0.982	1.000	1.000	1.000	0.958	0.971	0.875
0.963	0.933	0.842	0.000	0.955	0.880	0.617	0.896	0.980	0.853	0.970	0.933	0.407	0.923	0.865	0.909	0.846	1.000	0.847	0.000	0.984	0.903	0.769	0.857	0	0.830	0.882	0.852	0.857	0.818	0.850	0.963	0.988	0.812	0.894	0.769	0.833	0.965	0.828	0.724	0.978	0.857	0.964	0.880	0.811	0.916	0.812	0.966	0.966	0.964	0.820	0.775	0.807	0.375	0.839	0.800	1.000	0.788	0.942	0.945	0.933	0.850	0.767	0.868	0.963	0.967	0.857	0.952	0.960	0.897	0.944	0.901	0.909	0.839	0.902	1.000	0.971	0.766
1.000	0.978	1.000	1.000	1.000	1.000	0.894	0.915	0.979	0.957	0.939	0.915	0.926	0.962	0.973	0.957	0.936	1.000	0.894	0.880	1.000	0.935	0.962	0.979	0.830	0	1.000	0.963	0.893	0.851	0.925	1.000	1.000	0.938	0.957	0.962	0.967	1.000	0.936	0.872	0.979	0.964	0.851	0.800	0.865	0.936	0.969	1.000	0.966	1.000	0.894	0.950	0.660	0.979	0.903	0.894	1.000	0.787	0.851	0.766	0.889	1.000	0.872	0.936	0.926	1.000	0.936	0.872	0.851	0.897	0.957	0.957	0.909	0.935	0.830	1.000	0.971	0.723
1.000	0.978	0.842	0.973	1.000	0.760	0.941	0.979	1.000	0.985	1.000	0.971	1.000	1.000	0.973	0.982	1.000	0.962	1.000	0.920	1.000	0.968	1.000	0.946	0.882	1.000	0	1.000	1.000	0.985	1.000	1.000	1.000	0.906	0.985	0.346	0.933	1.000	1.000	1.000	1.000	1.000	0.985	1.000	0.973	0.985	0.969	1.000	0.966	0.964	0.971	1.000	0.956	0.984	1.000	0.985	1.000	1.000	1.000	0.985	0.978	0.000	0.983	1.000	0.963	0.967	0.412	1.000	1.000	0.974	0.985	0.750	1.000	1.000	1.000	1.000	1.000	0.985
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.296	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.926	0.852	0.963	1.000	0	1.000	0.963	1.000	1.000	1.000	1.000	0.148	1.000	1.000	1.000	1.000	1.000	1.000	0.407	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.926	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.963	0.963	0.778	1.000	0.963	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.964	0.714	1.000	0.929	1.000	0.714	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.964	0.857	0.893	1.000	1.000	0	0.964	0.000	1.000	1.000	0.964	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.964	1.000	1.000	1.000	0.857	0.929	1.000	0.893	1.000	0.964	1.000	0.786	1.000	1.000	1.000	1.000	0.929	1.000	1.000	1.000	1.000	0.964	1.000	0.852	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.963	0.933	0.974	0.919	0.966	1.000	0.909	0.979	0.980	0.937	1.000	0.960	0.889	0.962	0.919	1.000	0.981	0.923	0.881	0.960	0.984	0.871	0.962	0.929	0.818	0.851	0.985	0.963	0.964	0	0.975	0.926	0.952	0.906	1.000	0.923	0.900	1.000	0.948	0.897	0.970	1.000	0.949	0.880	0.892	0.989	0.906	1.000	0.966	0.929	0.899	0.000	0.374	0.953	0.935	0.957	1.000	0.769	0.841	0.869	0.933	0.975	0.000	0.974	1.000	0.933	0.970	0.841	0.970	0.974	0.931	0.960	0.909	1.000	0.848	0.958	0.914	0.838
1.000	1.000	1.000	1.000	1.000	1.000	0.950	0.725	0.975	0.925	1.000	0.725	0.926	1.000	1.000	0.875	1.000	1.000	0.925	0.960	1.000	1.000	1.000	0.950	0.850	0.925	1.000	1.000	0.000	0.975	0	1.000	0.950	0.969	0.875	1.000	1.000	1.000	1.000	1.000	1.000	0.964	0.975	1.000	0.973	0.875	0.906	1.000	0.897	1.000	0.950	1.000	0.825	1.000	1.000	1.000	1.000	0.875	0.950	1.000	1.000	1.000	0.975	1.000	0.815	1.000	1.000	1.000	0.975	0.718	1.000	1.000	0.909	1.000	0.950	0.950	1.000	0.875
0.963	0.852	0.963	1.000	1.000	1.000	1.000	1.000	1.000	0.741	1.000	1.000	1.000	0.885	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.963	0.963	1.000	1.000	1.000	1.000	0.926	1.000	0	0.963	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.926	1.000	0.889	1.000	1.000	1.000	0.963	1.000	1.000	0.889	1.000	0.963	0.852	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.926	1.000	1.000	0.926	1.000	1.000	0.889	1.000	0.000	1.000	1.000	1.000	1.000	0.963	1.000	1.000
0.667	0.978	1.000	1.000	1.000	1.000	0.976	1.000	1.000	0.976	1.000	1.000	1.000	0.962	0.973	0.982	1.000	1.000	0.949	1.000	1.000	1.000	1.000	0.946	0.988	1.000	1.000	1.000	1.000	0.952	0.950	0.963	0	1.000	0.985	1.000	1.000	1.000	0.966	1.000	0.398	0.964	0.807	1.000	1.000	0.976	0.719	1.000	0.931	0.964	1.000	1.000	0.904	0.984	1.000	1.000	1.000	0.962	0.971	0.964	0.933	1.000	0.933	0.987	1.000	0.733	0.976	1.000	0.964	1.000	0.972	0.988	0.939	1.000	0.976	0.000	0.971	0.976
1.000	1.000	0.938	0.938	1.000	0.960	0.781	0.906	1.000	0.938	1.000	0.875	0.926	1.000	0.938	1.000	1.000	0.962	0.969	1.000	1.000	0.968	1.000	0.938	0.812	0.938	0.906	1.000	0.964	0.906	0.969	1.000	1.000	0	1.000	0.962	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.906	0.906	1.000	1.000	1.000	0.625	1.000	0.844	0.875	0.968	0.906	1.000	0.969	1.000	1.000	1.000	0.938	0.906	1.000	1.000	1.000	0.938	1.000	1.000	0.906	1.000	0.938	1.000	1.000	1.000	1.000	1.000	0.875
1.000	1.000	1.000	0.946	1.000	1.000	0.939	0.979	1.000	0.955	1.000	0.985	0.963	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.946	0.894	0.957	0.985	0.148	0.857	1.000	0.875	1.000	0.985	1.000	0	1.000	0.967	1.000	0.983	1.000	0.955	0.000	1.000	1.000	1.000	0.000	0.969	1.000	0.966	1.000	0.985	1.000	0.924	0.969	1.000	1.000	1.000	0.942	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.985	1.000	1.000	0.974	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.985
1.000	1.000	1.000	0.808	1.000	1.000	0.692	1.000	1.000	1.000	1.000	1.000	0.808	1.000	1.000	1.000	1.000	1.000	0.885	1.000	1.000	1.000	1.000	0.962	0.769	0.962	0.346	1.000	1.000	0.923	1.000	1.000	1.000	0.962	1.000	0	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	0.885	0.731	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.692	0.923	1.000	1.000	1.000	0.692	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.808
1.000	1.000	1.000	0.867	0.967	1.000	0.667	0.900	1.000	0.867	1.000	0.900	0.852	1.000	0.867	0.967	0.867	1.000	0.967	1.000	1.000	0.933	1.000	0.000	0.833	0.967	0.933	1.000	1.000	0.900	1.000	1.000	1.000	0.933	0.967	0.962	0	1.000	1.000	1.000	1.000	1.000	0.933	1.000	0.933	0.933	0.967	1.000	1.000	1.000	0.900	0.933	0.867	0.833	0.967	0.933	1.000	0.967	1.000	1.000	1.000	0.967	0.933	0.867	0.963	1.000	0.833	1.000	0.967	0.900	0.967	0.967	1.000	1.000	1.000	1.000	1.000	0.833
1.000	1.000	0.974	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.939	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.983	0.920	1.000	1.000	1.000	1.000	0.965	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.862	1.000	1.000	1.000	0.988	1.000	0.919	1.000	1.000	0.138	1.000	1.000	0.988	1.000	0.988	1.000	0.968	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	0.988	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.889	0.789	0.973	1.000	0.840	0.931	0.979	0.961	0.983	1.000	0.983	0.926	1.000	0.919	0.982	0.942	1.000	0.966	0.800	1.000	1.000	0.962	0.964	0.828	0.936	1.000	1.000	1.000	0.948	1.000	1.000	0.966	1.000	0.983	1.000	1.000	0.862	0	0.948	0.983	1.000	0.914	1.000	0.946	0.983	0.969	0.828	0.966	1.000	1.000	0.975	0.845	0.983	1.000	1.000	0.968	0.962	0.983	0.983	1.000	1.000	0.948	0.931	1.000	0.967	0.931	0.983	0.948	0.974	0.948	0.845	0.939	0.935	0.983	0.979	1.000	0.966
1.000	0.978	0.974	1.000	1.000	1.000	0.879	0.917	0.961	0.948	0.848	0.931	1.000	0.923	0.838	1.000	0.885	1.000	0.828	0.920	1.000	1.000	0.462	1.000	0.724	0.872	1.000	1.000	1.000	0.897	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.948	0	0.983	1.000	0.914	0.600	0.973	1.000	1.000	1.000	1.000	1.000	0.914	0.925	0.879	1.000	0.968	0.914	0.968	0.904	0.672	0.655	0.844	1.000	0.948	0.897	1.000	1.000	0.897	0.793	0.914	0.897	1.000	0.983	0.788	0.806	0.569	1.000	0.943	0.897
0.000	0.978	1.000	1.000	1.000	1.000	0.983	0.958	1.000	0.979	1.000	0.973	1.000	0.962	0.973	0.945	1.000	1.000	0.966	1.000	1.000	1.000	1.000	0.982	0.978	0.979	1.000	1.000	1.000	0.970	1.000	0.926	0.398	1.000	0.955	1.000	1.000	1.000	0.983	0.983	0	0.893	0.797	1.000	1.000	0.968	0.938	1.000	0.931	0.964	0.980	1.000	0.935	0.984	0.968	0.971	1.000	1.000	1.000	0.991	0.978	1.000	0.950	1.000	1.000	0.900	1.000	1.000	0.931	1.000	0.944	0.993	0.939	1.000	1.000	0.417	0.857	0.991
