name	term	lev	seq	value
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster13816	-0.125586810319752
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster19458	0.106137005608703
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster12861	1.04960070937293
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster8037	1.37482463198417
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster29907	0.885567076051223
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster21599	1.44418628086305
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster11304	0.263738467031913
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster44695	0.519571360701359
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster31803	-0.966359345874979
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster31038	1.1734150323599
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster30236	0.162451134017723
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster13532	0.346022263835608
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster20986	1.17963249987379
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster9070	1.36929487023619
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster332881	-1.35269783914037
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster132671	0.136653103744126
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster22588	-1.49193059457614
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster62556	-0.306717902512676
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster29804	-0.512004676999555
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster3503	-1.28631311221821
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster16752	1.10531940820963
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster11196	-0.826362431430512
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster169053	0.5
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster23392	-1.38920426546523
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster32094	-0.29400053776925
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster8704	0.458021614705299
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Cluster33093	1.44145516087709
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster3154	0.72704216182461
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster9280	1.22654178928025
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster39570	1.38568346131071
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster2251	1.44851881509215
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster17356	-0.359491124015257
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster181215	1.02213388456186
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster20290	0.726078393982889
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster79705	-0.1228683130486
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster449180	-0.398955832993173
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster14301	-0.282771345727496
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster362119	-1.45929598882933
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster423434	0.174071862862859
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster9432	1.12785178008074
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster55937	0.298807460135969
"catalytic activity, acting on RNA"	GO:0140098	2	Cluster11296	-0.665325388957588
