name	term	lev	seq	value
"structural constituent of ribosome"	GO:0003735	2	Cluster13213	-0.498316343475595
"structural constituent of ribosome"	GO:0003735	2	Cluster85524	0.549632717214071
"structural constituent of ribosome"	GO:0003735	2	Cluster62058	0.218698532491034
"structural constituent of ribosome"	GO:0003735	2	Cluster72910	0.325363679036393
"structural constituent of ribosome"	GO:0003735	2	Cluster52756	0.657665016581839
"structural constituent of ribosome"	GO:0003735	2	Cluster198454	0.285602504879062
"structural constituent of ribosome"	GO:0003735	2	Cluster10923	-0.0142638533146248
"structural constituent of ribosome"	GO:0003735	2	Cluster67870	-0.306074444021827
"structural constituent of ribosome"	GO:0003735	2	Cluster40316	0.38163668511586
"structural constituent of ribosome"	GO:0003735	2	Cluster37137	-0.05012547796876
"structural constituent of ribosome"	GO:0003735	2	Cluster33120	0.292103651820278
"structural constituent of ribosome"	GO:0003735	2	Cluster22731	0.208909961858964
"structural constituent of ribosome"	GO:0003735	2	Cluster105594	0.0505640080041923
"structural constituent of ribosome"	GO:0003735	2	Cluster14830	0.256975862686739
"structural constituent of ribosome"	GO:0003735	2	Cluster16693	-0.168361052689561
"structural constituent of ribosome"	GO:0003735	2	Cluster39485	0.404377630438724
"structural constituent of ribosome"	GO:0003735	2	Cluster83199	0.193700747639802
"structural constituent of ribosome"	GO:0003735	2	Cluster37814	0.508800520638866
"structural constituent of ribosome"	GO:0003735	2	Cluster230732	0.309925581486398
"structural constituent of ribosome"	GO:0003735	2	Cluster47627	0.361267433258299
"structural constituent of ribosome"	GO:0003735	2	Cluster59455	0.119943552846604
"structural constituent of ribosome"	GO:0003735	2	Cluster22117	0.795932878691246
"structural constituent of ribosome"	GO:0003735	2	Cluster36280	0.608608859931465
"structural constituent of ribosome"	GO:0003735	2	Cluster19003	0.624887743347754
"structural constituent of ribosome"	GO:0003735	2	Cluster19765	0.478176869845508
"structural constituent of ribosome"	GO:0003735	2	Cluster20038	-0.282480968168528
"structural constituent of ribosome"	GO:0003735	2	Cluster69644	-0.186416009661781
"structural constituent of ribosome"	GO:0003735	2	Cluster90067	0.500009488325949
"structural constituent of ribosome"	GO:0003735	2	Cluster33626	0.520223093173695
"structural constituent of ribosome"	GO:0003735	2	Cluster44928	0.422376581297004
"structural constituent of ribosome"	GO:0003735	2	Cluster9230	-0.420496561274108
"structural constituent of ribosome"	GO:0003735	2	Cluster74334	0.158871571688232
"structural constituent of ribosome"	GO:0003735	2	Cluster81364	-0.244963956090632
"structural constituent of ribosome"	GO:0003735	2	Cluster255400	0.421964283681267
"structural constituent of ribosome"	GO:0003735	2	Cluster83689	-0.131506693050218
"structural constituent of ribosome"	GO:0003735	2	Cluster43064	0.0259620280174624
"structural constituent of ribosome"	GO:0003735	2	Cluster10473	-0.398167873891302
"structural constituent of ribosome"	GO:0003735	2	Cluster40844	-0.442190474810815
"structural constituent of ribosome"	GO:0003735	2	Cluster42146	-0.278547258192339
"structural constituent of ribosome"	GO:0003735	2	Cluster10946	0.0498415256572856
"structural constituent of ribosome"	GO:0003735	2	Cluster31077	-0.0932429724660169
"structural constituent of ribosome"	GO:0003735	2	Cluster9343	-0.282931279728197
"structural constituent of ribosome"	GO:0003735	2	Cluster63298	-0.00993194179015194
"structural constituent of ribosome"	GO:0003735	2	Cluster39685	0.457032562372035
"structural constituent of ribosome"	GO:0003735	2	Cluster31932	-0.573551757547918
